# The analysis results in this file have been extracted from a superset of the
#
#   Multi-INstrument Burst ARchive (MINBAR) data release 1
#
# comprising analyses of thermonuclear (type-I) X-ray bursts observed by
# the Rossi X-ray Timing Explorer (RXTE), BeppoSAX, and INTEGRAL.
#
# The data has been generated by a query from the web interface at
#
#   http://burst.sci.monash.edu
#
# Some of the data provided here may be PRELIMINARY and NOT SUITABLE FOR 
# PUBLICATION. For the definitive version of the analysis results comprising
# data release 1, download the machine-readable tables available at
#
#   https://doi.org/10.26180/5e4a697d9b8b6
#
# For more information, see the preprint at http://arxiv.org/abs/2003.00685 
# or contact the PI Duncan.Galloway@monash.edu
#
# The last comment line before the data gives the column field names, which
# are also described below:
#   name = Likely burst origin
#   time = Burst start time (MJD UT)
#   instr = Instrument label
#   bpflux = Bolometric peak flux (from blackbody fit)
#   bpfluxe = Uncertainty on bolometric peak flux
#   rexp = Photospheric radius-expansion flag
#
#
# For a complete description of the table fields and units, see
#   https://burst.sci.monash.edu/static/html/columns.html
#
"name"	"time"	"instr"	"bpflux"	"bpfluxe"	"rexp"
"GX 17+2"	50121.67857	XPa	15.83	0.67	2.00	
"4U 1728-34"	50128.74874	XPa	87.21	2.06	2.00	
"4U 1728-34"	50128.88217	XPa	89.96	1.93	2.00	
"4U 1728-34"	50129.16469	XPa	49.27	1.36	1.00	
"4U 1728-34"	50129.28551	XPa	82.20	1.89	2.00	
"4U 1728-34"	50129.41718	XPa	83.82	1.89	2.00	
"4U 1728-34"	50129.81055	XPa	89.80	1.94	2.00	
"4U 1728-34"	50131.73044	XPa	87.39	1.87	2.00	
"4U 1728-34"	50131.89502	XPa	96.40	2.29	2.00	
"4U 1728-34"	50135.96471	XPa	110.66	3.30	2.00	
"4U 1728-34"	50137.24055	XPa	106.33	2.76	2.00	
"4U 1728-34"	50137.74431	XPa	111.00	2.77	2.00	
"4U 1728-34"	50138.97021	XPa	106.96	2.70	2.00	
"4U 0513-40"	50151.61626	XPa	12.05	0.64	1.00	
"4U 1608-522"	50164.69331	XPe	65.10	1.41	1.00	
"4U 1608-522"	50164.70420	XPe	0.90	0.19	1.00	
"4U 1608-522"	50164.71019	XPe	19.58	0.88	1.00	
"Cyg X-2"	50165.72506	XPe	15.09	1.05	1.00	
"Cyg X-2"	50169.60353	XPa	12.43	0.66	2.00	
"GRS 1741.9-2853"	50192.64670	XPa	14.45	1.75	1.00	
"XB 1916-053"	50208.92926	XPl	26.58	1.07	2.00	
"GRS 1741.9-2853"	50215.68710	XPe	33.24	1.45	2.00	
"GRS 1741.9-2853"	50217.33058	XPe	24.18	1.46	1.00	
"GRS 1741.9-2853"	50218.81414	XPa	40.33	1.08	2.00	
"XB 1916-053"	50235.76996	XPa	28.15	0.86	2.00	
"GRS 1741.9-2853"	50238.61188	XPa	21.45	0.91	2.00	
"GRS 1741.9-2853"	50253.41364	XPa	36.30	1.42	2.00	
"GRS 1741.9-2853"	50272.08187	XPa	45.61	1.70	2.00	
"KS 1731-260"	50278.17791	XPa	43.16	1.17	2.00	
"4U 1246-588"	50286.29005	SW1	125.19	20.72	2.00	
"GRS 1741.9-2853"	50287.17632	XPa	52.66	1.37	2.00	
"Aql X-1"	50288.37265	XPa	60.78	3.24	1.00	
"Aql X-1"	50288.38004	XPa	44.94	1.37	1.00	
"EXO 0748-676"	50310.73531	XPl	2.10	0.08	1.00	
"EXO 0748-676"	50310.74715	XPa	6.39	0.23	1.00	
"EXO 0748-676"	50310.90800	XPa	8.99	0.50	1.00	
"XB 1916-053"	50311.51919	XPa	29.83	0.99	2.00	
"4U 1728-34"	50316.87737	SW2	54.19	8.93	1.84	
"GX 3+1"	50317.14988	SW2	25.24	6.92	1.48	
"KS 1731-260"	50317.21809	SW2	52.06	13.34	1.65	
"4U 1728-34"	50317.21985	SW2	59.82	20.47	1.89	
"4U 1728-34"	50317.40612	SW2	27.36	7.99	1.59	
"1A 1742-294"	50317.41963	SW2	11.71	3.92	1.13	
"4U 1728-34"	50317.49893	SW2	48.86	13.34	1.67	
"GS 1826-24"	50317.55434	SW2	40.33	12.62	1.00	
"4U 1728-34"	50317.64444	SW2	96.88	24.18	1.85	
"4U 1812-12"	50317.70482	SW2	232.64	38.29	2.00	
"4U 1728-34"	50317.80960	SW2	43.82	10.17	1.58	
"GRS 1741.9-2853"	50317.97543	SW2	23.49	8.14	1.14	
"4U 1728-34"	50318.09613	SW2	111.86	27.44	1.92	
"1A 1742-294"	50318.22247	SW2	18.27	4.96	1.07	
"4U 1722-30"	50318.27915	SW2	67.59	11.71	2.00	
"4U 1728-34"	50318.31154	SW2	67.19	8.88	1.87	
"KS 1731-260"	50318.35364	SW2	63.74	9.48	1.96	
"4U 1728-34"	50318.41831	SW2	54.05	13.78	1.79	
"KS 1731-260"	50318.43621	SW2	26.08	8.84	1.50	
"4U 1728-34"	50318.49999	SW2	28.00	7.77	1.41	
"4U 1728-34"	50318.63842	SW2	69.24	10.99	1.93	
"KS 1731-260"	50318.69713	SW2	43.37	6.77	1.78	
"1A 1742-294"	50318.71565	SW2	14.66	11.48	1.07	
"4U 1728-34"	50318.91400	SW2	58.18	16.89	1.49	
"1A 1742-294"	50318.95178	SW2	9.89	6.80	1.06	
"4U 1728-34"	50318.98559	SW2	34.77	9.76	1.55	
"4U 1728-34"	50319.08450	SW2	42.24	6.57	1.64	
"GRS 1741.9-2853"	50319.15818	SW2	42.98	6.05	1.31	
"1A 1742-294"	50319.15961	SW2	13.32	4.98	1.10	
"4U 1702-429"	50319.16397	SW2	-0.00	-0.00	1.59	
"4U 1728-34"	50319.21256	SW2	53.49	7.86	1.77	
"4U 1728-34"	50319.29196	SW2	56.31	17.63	1.68	
"GS 1826-24"	50319.36125	SW2	24.12	11.34	1.00	
"GX 3+1"	50319.42771	SW2	49.40	11.84	1.79	
"4U 1728-34"	50319.57631	SW2	64.32	23.71	1.83	
"KS 1731-260"	50319.77094	SW2	72.38	11.63	1.95	
"4U 1728-34"	50319.89134	SW2	39.00	10.33	1.61	
"4U 1728-34"	50320.02360	SW2	100.70	26.72	1.83	
"1A 1742-294"	50320.03272	SW2	16.82	4.66	1.06	
"4U 1728-34"	50320.30152	SW2	41.20	10.51	1.61	
"4U 1702-429"	50320.34880	SW2	130.40	45.00	1.88	
"1A 1742-294"	50320.38531	SW2	43.03	10.80	1.10	
"KS 1731-260"	50320.41785	SW2	58.77	9.00	1.83	
"GS 1826-24"	50320.48706	SW2	44.31	7.39	1.00	
"1A 1742-294"	50320.49725	SW2	14.79	4.61	1.13	
"KS 1731-260"	50320.50223	SW2	41.15	5.85	1.72	
"1A 1742-294"	50320.56340	SW2	20.13	6.06	1.16	
"4U 1728-34"	50320.57696	SW2	59.75	21.26	1.72	
"SAX J1753.5-2349"	50320.64681	SW2	52.83	7.68	1.56	
"4U 1728-34"	50320.70552	SW2	58.06	8.51	1.90	
"1A 1742-294"	50320.77591	SW2	13.97	4.73	1.06	
"4U 1728-34"	50320.96818	SW2	69.66	11.86	1.95	
"1A 1742-294"	50320.98682	SW2	16.99	4.37	1.06	
"4U 1728-34"	50321.09457	SW2	78.56	11.81	1.91	
"4U 1702-429"	50321.17061	SW2	122.43	42.01	1.79	
"GS 1826-24"	50321.32684	SW2	58.39	19.26	1.00	
"1A 1742-294"	50321.96077	SW2	13.13	4.22	1.06	
"1A 1742-294"	50322.04162	SW2	19.00	5.60	1.05	
"4U 1728-34"	50322.16739	SW2	57.69	10.00	1.86	
"KS 1731-260"	50322.24553	SW2	56.90	9.15	1.91	
"4U 1728-34"	50322.29767	SW2	81.76	13.04	1.90	
"SLX 1744-300"	50322.43201	SW2	14.21	5.32	1.08	
"4U 1728-34"	50322.45076	SW2	122.50	21.73	1.89	
"KS 1731-260"	50322.57996	SW2	61.44	8.45	1.87	
"GS 1826-24"	50322.66662	SW2	84.76	34.62	1.00	
"1A 1742-294"	50322.90657	SW2	24.35	8.25	1.07	
"GS 1826-24"	50322.93049	SW2	22.53	9.05	1.00	
"KS 1731-260"	50322.96481	SW2	45.01	14.40	1.49	
"4U 1728-34"	50323.10732	SW2	65.12	12.52	1.89	
"1A 1742-294"	50323.18792	SW2	21.23	5.93	1.14	
"GS 1826-24"	50323.19148	SW2	46.38	12.12	1.00	
"4U 1728-34"	50323.32685	SW2	50.11	7.51	1.83	
"GS 1826-24"	50323.44876	SW2	16.92	5.63	1.00	
"4U 1728-34"	50323.45184	SW2	86.37	14.02	1.93	
"4U 1728-34"	50323.58506	SW2	56.63	8.06	1.82	
"1A 1742-294"	50323.67193	SW2	41.54	6.46	1.12	
"GS 1826-24"	50323.71614	SW2	41.28	7.77	1.00	
"4U 1728-34"	50323.73125	SW2	69.31	12.61	1.94	
"1A 1742-294"	50324.16858	SW2	58.64	20.03	1.42	
"4U 1728-34"	50324.23236	SW2	68.76	10.86	1.89	
"4U 1812-12"	50324.23595	SW2	235.88	43.66	2.00	
"GS 1826-24"	50324.26235	SW2	31.13	4.92	1.00	
"4U 1728-34"	50324.37884	SW2	63.83	10.33	1.94	
"GS 1826-24"	50324.52989	SW2	33.83	5.59	1.00	
"4U 1728-34"	50324.59264	SW2	165.56	56.70	1.91	
"4U 1728-34"	50324.73881	SW2	58.21	17.19	1.75	
"KS 1731-260"	50324.79408	SW2	56.94	17.94	1.85	
"GX 3+1"	50324.86962	SW2	75.15	29.25	1.78	
"4U 1728-34"	50324.90577	SW2	52.36	15.08	1.72	
"KS 1731-260"	50325.04208	SW2	61.53	19.51	1.91	
